marker_EOI_content_after_num,marker_DQT_num,marker_DHT_num,file_markers_num,marker_DQT_size_max,marker_DHT_size_max,file_size,marker_COM_size_max,marker_APP1_size_max,marker_APP12_size_max
0,2,4,11,67,79,136280,0,0,0
0,2,4,12,67,70,70217,12,0,0
0,2,4,12,67,74,216843,0,0,0
0,2,4,12,67,69,157351,0,0,0
0,2,4,11,67,71,99134,0,0,0
0,2,4,11,67,79,45754,0,0,0
0,2,4,11,67,70,25088,0,0,0
0,2,4,11,67,73,136212,0,0,0
0,2,4,11,67,81,49649,0,0,0
0,2,4,12,67,73,137117,0,0,0
0,2,4,11,67,77,177025,0,0,0
0,2,4,11,67,77,163873,0,0,0
0,2,4,11,67,78,130744,0,0,0
0,2,4,11,67,76,145810,0,0,0
0,2,4,11,67,70,113129,0,0,0
0,2,4,11,67,77,95075,0,0,0
0,2,4,11,67,81,190137,0,0,0
0,2,4,11,67,79,124423,0,0,0
0,2,4,11,67,76,206505,0,0,0
0,2,4,11,67,72,117032,0,0,0
0,2,4,13,67,78,96296,12,0,0
0,2,4,11,67,80,158511,0,0,0
0,2,4,13,67,71,212540,12,0,0
0,2,4,11,67,72,135880,0,0,0
0,2,4,12,67,83,149884,0,0,0
0,2,4,11,67,81,100958,0,0,0
0,2,4,11,67,74,129068,0,0,0
0,2,4,12,67,77,182634,0,0,0
0,2,4,11,67,71,130847,0,0,0
0,2,4,11,67,76,163086,0,0,0
0,2,4,11,67,91,127517,0,0,0
0,2,4,12,67,71,161929,0,0,0
0,2,4,12,67,86,113716,0,0,0
0,2,4,12,67,96,92358,0,0,0
0,2,4,11,67,75,110912,0,0,0
0,2,4,11,67,72,111361,0,0,0
0,2,4,11,67,74,94299,0,0,0
0,2,4,12,67,74,127952,0,0,0
0,2,4,11,67,82,199771,0,0,0
0,2,4,12,67,69,167496,0,0,0
0,2,4,12,67,75,221574,0,0,0
0,2,4,11,67,74,109539,0,0,0
0,2,4,11,67,76,126485,0,0,0
0,2,4,11,67,78,156501,0,0,0
0,2,4,11,67,74,107612,0,0,0
0,2,4,13,67,77,77910,12,0,0
0,2,4,11,67,73,134777,0,0,0
0,2,4,11,67,71,98948,0,0,0
0,2,4,12,67,87,133236,0,0,0
0,2,4,12,67,81,123189,12,0,0
0,2,4,11,67,82,133104,0,0,0
0,2,4,12,67,79,177332,0,0,0
0,2,4,13,67,71,158246,12,0,0
0,2,4,11,67,76,128461,0,0,0
0,2,4,11,67,68,142731,0,0,0
0,2,4,12,67,73,107273,0,0,0
0,2,4,12,67,74,237340,0,0,0
0,2,4,11,67,102,78894,0,0,0
0,2,4,12,67,93,136141,0,0,0
0,2,4,12,67,75,228090,0,0,0
0,2,4,11,67,92,125622,0,0,0
0,2,4,11,67,76,123706,0,0,0
0,2,4,11,67,75,127208,0,0,0
0,2,4,11,67,80,126562,0,0,0
0,2,4,12,67,76,100430,0,0,0
0,2,4,11,67,68,164819,0,0,0
0,2,4,12,67,71,155314,0,0,0
0,2,4,11,67,83,173272,0,0,0
0,2,4,11,67,67,123890,0,0,0
0,2,4,11,67,77,144538,0,0,0
0,2,4,11,67,70,100641,0,0,0
0,2,4,11,67,71,71228,0,0,0
0,2,4,11,67,87,118348,0,0,0
0,2,4,11,67,76,107352,0,0,0
0,2,4,12,67,74,181090,38,0,0
0,2,4,11,67,78,172502,0,0,0
0,2,4,12,67,72,186925,0,0,0
0,2,4,12,67,71,104857,0,0,0
0,2,4,11,67,74,156476,0,0,0
0,2,4,12,67,85,158440,0,0,0
0,2,4,12,67,73,192232,12,0,0
0,2,4,11,67,87,71273,0,0,0
0,2,4,11,67,78,128496,0,0,0
0,2,4,11,67,74,126097,0,0,0
0,2,4,11,67,76,182934,0,0,0
0,2,4,11,67,77,196233,0,0,0
0,2,4,11,67,72,161795,0,0,0
0,2,4,11,67,83,66363,0,0,0
0,2,4,11,67,76,129992,0,0,0
0,2,4,13,67,72,172466,12,0,0
0,2,4,11,67,72,69475,0,0,0
0,2,4,11,67,85,138893,0,0,0
0,2,4,12,67,80,127770,0,0,0
0,2,4,11,67,81,196634,0,0,0
0,2,4,11,67,92,99336,0,0,0
0,2,4,13,67,80,134323,12,0,0
0,2,4,11,67,81,113250,0,0,0
0,2,4,11,67,87,132272,0,0,0
0,2,4,12,67,75,181810,0,0,0
0,2,4,12,67,74,80843,0,0,0
0,2,4,12,67,72,179272,0,0,0
